inchikey;block;smiles;smiles+ chemdraw;flag;lowest_price;pubchem_cid;urls
USSXXKBDCMRIFT-UHFFFAOYNA-N;Nc1cc([Xe])cc([N+](=O)[O-])c1;Nc1cc(I)cc([N+](=O)[O-])c1.Nc1cc(Br)cc([N+](=O)[O-])c1;Nc1cc(I)cc([N+](=O)[O-])c1.Nc1cc(Br)cc([N+](=O)[O-])c1;Y;55.0;25225!!44535;http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=167208&ExtHyperLink=1!!http://www.combi-blocks.com/cgi-bin/find.cgi?AN-1260$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=100722&ExtHyperLink=1
MJFQUEQSESLXNC-QJVJESMTNA-N;CC1(C)OC(=O)Nc2ccc([Xe])cc21;CC1(C)OC(=O)Nc2ccc(Br)cc21;CC1(C)OC(=O)Nc2ccc(Br)cc21;Y;55.0;30630;http://www.combi-blocks.com/cgi-bin/find.cgi?QA-1530$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=63016&ExtHyperLink=1
IGZWRMAUGGYBEH-UHFFFAOYNA-N;N#Cc1cnn(-c2ccc([Xe])cc2)c1N;N#Cc1cnn(-c2ccc(Br)cc2)c1N;N#Cc1cnn(-c2ccc(Br)cc2)c1N;Y;55.0;219733;http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=27428&ExtHyperLink=1$$http://www.combi-blocks.com/cgi-bin/find.cgi?QM-1490$$https://www.sigmaaldrich.com/catalog/product/aldrich/jrd0218?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
BOUYJXSFKPWHHB-UHFFFAOYNA-N;CCOC(=O)c1ccc(N)c([Xe])c1;CCOC(=O)c1ccc(N)c(I)c1.CCOC(=O)c1ccc(N)c(Br)c1;CCOC(=O)c1ccc(N)c(I)c1.CCOC(=O)c1ccc(N)c(Br)c1;Y;55.0;459320!!242793;http://www.combi-blocks.com/cgi-bin/find.cgi?QB-6339!!http://www.combi-blocks.com/cgi-bin/find.cgi?OR-5655$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=119876&ExtHyperLink=1
PAEBFKZZFVBDMA-QJVJESMTNA-N;CC(C)(Oc1ccc([Xe])cc1)C(=O)O;CC(C)(Oc1ccc(Br)cc1)C(=O)O;CC(C)(Oc1ccc(Br)cc1)C(=O)O;Y;55.0;344894;http://www.combi-blocks.com/cgi-bin/find.cgi?QZ-6108$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=135143&ExtHyperLink=1
CFSSCSSDRMURLD-UHFFFAOYNA-N;CC(=O)c1ccc([Xe])c(C)c1;CC(=O)c1ccc(Br)c(C)c1;CC(=O)c1ccc(Br)c(C)c1;Y;55.0;347124;http://www.combi-blocks.com/cgi-bin/find.cgi?SH-5024
GJOVLWNNSIEFMS-ICBNUBOPNA-N;O=C(O)c1ccc(COc2ccc([Xe])cc2)cc1;O=C(O)c1ccc(COc2ccc(I)cc2)cc1.O=C(O)c1ccc(COc2ccc(Br)cc2)cc1;O=C(O)c1ccc(COc2ccc(I)cc2)cc1.O=C(O)c1ccc(COc2ccc(Br)cc2)cc1;Y;55.0;997606!!585035;http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=22051&ExtHyperLink=1!!http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=9895&ExtHyperLink=1
AADXXDNKLSJSOW-NSKAINJBNA-N;O=C(O)c1cccc([Xe])c1[N+](=O)[O-];O=C(O)c1cccc(Br)c1[N+](=O)[O-];O=C(O)c1cccc(Br)c1[N+](=O)[O-];Y;55.0;268425;http://www.combi-blocks.com/cgi-bin/find.cgi?CA-5697$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=132617&ExtHyperLink=1
HKAIEACNBWJMJW-UHFFFAOYNA-N;CCOC(=O)CNc1ccc([Xe])cc1;CCOC(=O)CNc1ccc(I)cc1.CCOC(=O)CNc1ccc(Br)cc1;CCOC(=O)CNc1ccc(I)cc1.CCOC(=O)CNc1ccc(Br)cc1;Y;55.0;689360!!302643;http://www.combi-blocks.com/cgi-bin/find.cgi?SS-5580!!http://www.combi-blocks.com/cgi-bin/find.cgi?AN-6162$$https://www.sigmaaldrich.com/catalog/product/aldrich/ph009987
ZXWDQJQJRWKXEX-UHFFFAOYNA-N;O=C1OCc2ccc([Xe])cc21;O=C1OCc2ccc(I)cc21.O=C1OCc2ccc(Br)cc21;O=C1OCc2ccc(I)cc21.O=C1OCc2ccc(Br)cc21;Y;55.0;7174166!!262235;http://www.combi-blocks.com/cgi-bin/find.cgi?QE-7393$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=20803&ExtHyperLink=1!!http://www.combi-blocks.com/cgi-bin/find.cgi?QA-5572$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=20802&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/cds008339?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
WFZSPTCDCMWDHE-OWKUHEICNA-N;O=CNc1ccccc1[Xe];O=CNc1ccccc1Br;O=CNc1ccccc1Br;Y;55.0;817914;http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=184795&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/630993?utm_source=pubchem&utm_campaign=pubchem_2017&utm_medium=referral
ULPOEUFVCNAFMV-CYHIEYIANA-N;NC(=O)c1ccc([Xe])cc1F;NC(=O)c1ccc(Br)cc1F;NC(=O)c1ccc(Br)cc1F;Y;55.0;2773331;http://www.combi-blocks.com/cgi-bin/find.cgi?OT-1003$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=65527&ExtHyperLink=1
DNRQABKOFWOHEM-UHFFFAOYNA-N;FC(F)C(F)(F)Oc1cccc([Xe])c1;FC(F)C(F)(F)Oc1cccc(Br)c1;FC(F)C(F)(F)Oc1cccc(Br)c1;Y;55.0;2778574;http://www.combi-blocks.com/cgi-bin/find.cgi?SS-4415$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=59173&ExtHyperLink=1
LRVCFNXIXBULTL-UHFFFAOYNA-N;CS(=O)(=O)c1ccc(NN)c([Xe])c1;CS(=O)(=O)c1ccc(NN)c(Br)c1;CS(=O)(=O)c1ccc(NN)c(Br)c1;Y;55.0;2761068;http://www.combi-blocks.com/cgi-bin/find.cgi?SS-5695$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=17517&ExtHyperLink=1
GZMQOJPVLODUIT-UHFFFAOYNA-N;COc1cc([Xe])ccc1OCc1ccccc1;COc1cc(Br)ccc1OCc1ccccc1;COc1cc(Br)ccc1OCc1ccccc1;Y;55.0;3613128;http://www.combi-blocks.com/cgi-bin/find.cgi?OT-0647$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=99686&ExtHyperLink=1$$https://www.sigmaaldrich.com/catalog/product/aldrich/s813834
OVBGXNRLKUHNOS-UHFFFAOYNA-N;N#CC1(c2ccc([Xe])cc2)CCCC1;N#CC1(c2ccc(Br)cc2)CCCC1;N#CC1(c2ccc(Br)cc2)CCCC1;Y;55.0;3987679;http://www.combi-blocks.com/cgi-bin/find.cgi?HC-3007
KDRJVBZEDHALCG-UHFFFAOYNA-N;O=C1COc2c([Xe])cccc21;O=C1COc2c(Br)cccc21;O=C1COc2c(Br)cccc21;Y;55.0;4137896;http://www.combi-blocks.com/cgi-bin/find.cgi?QA-0603$$http://www.oakwoodchemical.com/ProductsList.aspx?CategoryID=-2&txtSearch=64251&ExtHyperLink=1
